epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9996,1.52738,2.10605,1.25903,0.67274,0.73163,0.74022,0.40269,1.47222,1.469,1.31246,0.00055323,0.00055323,0.00055323
2,141.472,1.52083,1.45386,1.27131,0.73765,0.76228,0.79069,0.46096,1.43312,1.1511,1.28281,0.00106498,0.00106498,0.00106498
3,208.295,1.49678,1.26684,1.26814,0.7736,0.70101,0.76762,0.43605,1.45184,1.19288,1.29898,0.00153273,0.00153273,0.00153273
4,274.49,1.49588,1.19196,1.27257,0.66098,0.59226,0.6548,0.38264,1.43945,1.87572,1.30553,0.00146896,0.00146896,0.00146896
5,341.514,1.43241,1.09481,1.24103,0.82453,0.76706,0.84368,0.51757,1.36435,0.96939,1.24927,0.00140295,0.00140295,0.00140295
6,408.194,1.41175,1.0343,1.22879,0.82579,0.82131,0.88159,0.52875,1.3839,0.85136,1.23494,0.00133693,0.00133693,0.00133693
7,474.119,1.39498,0.96704,1.2203,0.81827,0.7952,0.865,0.52203,1.4036,0.83894,1.27458,0.00127092,0.00127092,0.00127092
8,539.787,1.38249,0.94498,1.20968,0.81407,0.83671,0.88223,0.55604,1.29428,0.82945,1.21609,0.00120491,0.00120491,0.00120491
9,605.358,1.35792,0.91925,1.20906,0.83554,0.85144,0.91283,0.5721,1.29872,0.73026,1.20464,0.00113889,0.00113889,0.00113889
10,670.824,1.33728,0.87614,1.19117,0.85898,0.85262,0.89778,0.5522,1.32285,0.77825,1.227,0.00107288,0.00107288,0.00107288
11,735.89,1.31207,0.84046,1.18136,0.827,0.83969,0.89422,0.5462,1.32875,0.75817,1.23406,0.00100687,0.00100687,0.00100687
12,803.462,1.29516,0.82188,1.16794,0.87999,0.83338,0.91234,0.56472,1.31808,0.72219,1.20357,0.000940855,0.000940855,0.000940855
13,871.608,1.2927,0.80994,1.17146,0.82472,0.86272,0.90579,0.56343,1.28723,0.71962,1.18835,0.000874842,0.000874842,0.000874842
14,941.272,1.25974,0.77571,1.14673,0.85174,0.8649,0.90592,0.56757,1.30096,0.71355,1.20261,0.000808828,0.000808828,0.000808828
15,1011.46,1.25348,0.75553,1.14559,0.8524,0.90556,0.92883,0.58182,1.29491,0.66585,1.1935,0.000742815,0.000742815,0.000742815
16,1080.13,1.20639,0.67063,1.14559,0.85101,0.85721,0.902,0.57037,1.31795,0.7229,1.21777,0.000676802,0.000676802,0.000676802
17,1146.02,1.18529,0.64352,1.13862,0.88684,0.87007,0.91753,0.57953,1.29912,0.66793,1.20892,0.000610789,0.000610789,0.000610789
18,1211.78,1.15211,0.62307,1.1174,0.85321,0.88234,0.92421,0.57887,1.30297,0.66539,1.20504,0.000544776,0.000544776,0.000544776
19,1277.87,1.12483,0.58903,1.10168,0.87083,0.84316,0.9095,0.57151,1.30481,0.6933,1.20249,0.000478762,0.000478762,0.000478762
20,1343.65,1.09867,0.57072,1.08216,0.85536,0.90565,0.93079,0.58123,1.31664,0.63427,1.21262,0.000412749,0.000412749,0.000412749
21,1409.3,1.08426,0.55631,1.08218,0.86417,0.8754,0.92175,0.58016,1.32766,0.65097,1.22006,0.000346736,0.000346736,0.000346736
22,1475.12,1.06004,0.54074,1.07611,0.8446,0.89054,0.92641,0.57718,1.31154,0.65277,1.20771,0.000280723,0.000280723,0.000280723
23,1540.03,1.03102,0.52041,1.06106,0.89055,0.86193,0.92255,0.57332,1.31975,0.6428,1.2176,0.00021471,0.00021471,0.00021471
24,1605.06,1.00363,0.50233,1.04343,0.88201,0.84885,0.91687,0.57713,1.30784,0.6571,1.21953,0.000148696,0.000148696,0.000148696
25,1671.06,0.98645,0.49367,1.0334,0.88687,0.86087,0.92394,0.57846,1.31352,0.64866,1.22177,8.26832e-05,8.26832e-05,8.26832e-05
